layer,k,query_index,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,144,6.183981895446777e-05,4.163384437561035e-05,2.0205974578857422e-05,3.695487976074219e-05,3.6935011545817055e-05,1.9868214925132467e-08
0,100,144,0.0001529306173324585,0.00010872383912404378,4.420677820841472e-05,7.617473602294922e-05,6.463130315144856e-05,1.1543432871500656e-05
0,200,144,0.0004180222749710083,0.0002661198377609253,0.000151902437210083,0.00027698278427124023,9.922186533610026e-05,0.00017776091893513996
0,500,144,0.001516878604888916,0.0009924819072087605,0.0005243966976801555,0.0004914999008178711,0.0003515283266703288,0.0001399715741475423
1,50,144,1.8030405044555664e-05,5.504488945007324e-05,-3.701448440551758e-05,2.5391578674316406e-05,4.5398871103922524e-05,-2.0007292429606118e-05
1,100,144,8.979439735412598e-05,9.167691071828206e-05,-1.8825133641560827e-06,6.002187728881836e-05,5.845228830973307e-05,1.5695889790852887e-06
1,200,144,0.00029152631759643555,0.00026664137840270996,2.4884939193725586e-05,0.0001754164695739746,0.00010768572489420573,6.773074467976888e-05
1,500,144,0.0014464110136032104,0.0008457303047180176,0.0006006807088851929,0.0004177093505859375,0.0003223021825154622,9.540716807047528e-05
2,50,144,4.902482032775879e-06,2.931555112202962e-05,-2.4413069089253742e-05,2.3066997528076172e-05,3.8464864095052086e-05,-1.5397866566975914e-05
2,100,144,6.985664367675781e-05,9.575486183166504e-05,-2.5898218154907227e-05,5.537271499633789e-05,6.0776869455973305e-05,-5.404154459635414e-06
2,200,144,0.00019131600856781006,0.0003071427345275879,-0.00011582672595977783,0.00015234947204589844,0.00011156002680460612,4.078944524129231e-05
2,500,144,0.0008994936943054199,0.0009016245603561401,-2.130866050720215e-06,0.0004062056541442871,0.00034381945927937824,6.238619486490887e-05
3,50,144,1.1920928955078125e-06,4.814565181732178e-05,-4.6953558921813965e-05,2.771615982055664e-05,3.8464864095052086e-05,-1.0748704274495445e-05
3,100,144,7.584691047668457e-05,0.00010137756665547688,-2.5530656178792313e-05,5.7697296142578125e-05,7.001558939615886e-05,-1.2318293253580734e-05
3,200,144,0.0002052783966064453,0.0003004769484202067,-9.519855181376141e-05,0.00012230873107910156,0.00010770559310913086,1.4603137969970703e-05
3,500,144,0.0008891820907592773,0.0009184579054514567,-2.9275814692179326e-05,0.00037616491317749023,0.0003307660420735677,4.5398871103922544e-05
4,50,144,-2.3990869522094727e-06,4.6854217847188316e-05,-4.925330479939779e-05,2.771615982055664e-05,3.921985626220703e-05,-1.150369644165039e-05
4,100,144,3.941357135772705e-05,0.00011979540189107259,-8.038183053334554e-05,4.6133995056152344e-05,6.61611557006836e-05,-2.002716064453125e-05
4,200,144,0.00013352930545806885,0.00028438369433085126,-0.0001508543888727824,7.617473602294922e-05,0.0001169443130493164,-4.076957702636719e-05
4,500,144,0.0006927549839019775,0.0009095917145411173,-0.00021683673063913978,0.0003300309181213379,0.00032921632130940753,8.145968119303566e-07
5,50,144,-9.685754776000977e-06,3.930429617563883e-05,-4.899005095163981e-05,5.7697296142578125e-05,3.461043039957682e-05,2.3086865743001304e-05
5,100,144,7.8544020652771e-05,0.00011279185612996419,-3.424783547719319e-05,9.232759475708008e-05,6.463130315144856e-05,2.7696291605631515e-05
5,200,144,0.0003148317337036133,0.0003151049216588338,-2.731879552205223e-07,0.00027698278427124023,0.00011229515075683594,0.0001646876335144043
5,500,144,0.0020025670528411865,0.0010039011637369792,0.0009986658891042073,0.0005515217781066895,0.0003484487533569336,0.00020307302474975586
