layer,query_index,rank,token_index,row,col,attention_mass,map_path
0,144,1,2575,35,55,0.3152327239513397,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,2,2791,38,55,0.0066834790632128716,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,3,1709,23,53,0.003289510728791356,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,4,1847,25,47,0.0028764379676431417,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,5,2211,30,51,0.002687198342755437,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,6,2793,38,57,0.002638503909111023,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,7,1496,20,56,0.002345697721466422,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,8,1703,23,47,0.0023430008441209793,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,9,2000,27,56,0.002212087856605649,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,10,2503,34,55,0.002079791622236371,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,11,3657,50,57,0.002072656759992242,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,12,1559,21,47,0.002023919951170683,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,13,3007,41,55,0.0019886400550603867,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
