condition,k,trial,original_score,ablated_score,score_drop,iou_with_original
top_fused_attention,50,,0.15386584401130676,0.15385033190250397,1.551210880279541e-05,0.9999584555625916
random,50,0,0.15386584401130676,0.15381686389446259,4.8980116844177246e-05,0.9999630451202393
random,50,1,0.15386584401130676,0.15379740297794342,6.844103336334229e-05,0.9999515414237976
random,50,2,0.15386584401130676,0.15381845831871033,4.738569259643555e-05,0.9999538660049438
random,50,3,0.15386584401130676,0.1538306027650833,3.524124622344971e-05,0.9999515414237976
random,50,4,0.15386584401130676,0.15386970341205597,-3.859400749206543e-06,0.9999607801437378
random,50,5,0.15386584401130676,0.15383851528167725,2.73287296295166e-05,0.9999676942825317
random,50,6,0.15386584401130676,0.1538274735212326,3.8370490074157715e-05,0.9999653697013855
random,50,7,0.15386584401130676,0.15383151173591614,3.4332275390625e-05,0.9999653697013855
random,50,8,0.15386584401130676,0.1538006216287613,6.522238254547119e-05,0.9999515414237976
random,50,9,0.15386584401130676,0.15381520986557007,5.0634145736694336e-05,0.9999630451202393
top_fused_attention,100,,0.15386584401130676,0.1537802666425705,8.557736873626709e-05,0.9999353885650635
random,100,0,0.15386584401130676,0.15377011895179749,9.572505950927734e-05,0.9999423027038574
random,100,1,0.15386584401130676,0.15373922884464264,0.00012661516666412354,0.999930739402771
random,100,2,0.15386584401130676,0.15376918017864227,9.666383266448975e-05,0.999930739402771
random,100,3,0.15386584401130676,0.1537911742925644,7.46697187423706e-05,0.9999399781227112
random,100,4,0.15386584401130676,0.15376180410385132,0.00010403990745544434,0.9999399781227112
random,100,5,0.15386584401130676,0.1537700593471527,9.578466415405273e-05,0.9999377131462097
random,100,6,0.15386584401130676,0.1537664532661438,9.939074516296387e-05,0.9999399781227112
random,100,7,0.15386584401130676,0.15371505916118622,0.00015078485012054443,0.9999353885650635
random,100,8,0.15386584401130676,0.15376535058021545,0.0001004934310913086,0.9999446272850037
random,100,9,0.15386584401130676,0.15379510819911957,7.073581218719482e-05,0.9999399781227112
top_fused_attention,200,,0.15386584401130676,0.15360243618488312,0.000263407826423645,0.9998384714126587
random,200,0,0.15386584401130676,0.15363098680973053,0.0002348572015762329,0.9999054074287415
random,200,1,0.15386584401130676,0.15354573726654053,0.00032010674476623535,0.9998592138290405
random,200,2,0.15386584401130676,0.15354956686496735,0.0003162771463394165,0.9998822808265686
random,200,3,0.15386584401130676,0.15354138612747192,0.00032445788383483887,0.9998846054077148
random,200,4,0.15386584401130676,0.15362606942653656,0.00023977458477020264,0.9999099969863892
random,200,5,0.15386584401130676,0.15361106395721436,0.0002547800540924072,0.9998891949653625
random,200,6,0.15386584401130676,0.15356473624706268,0.0003011077642440796,0.9998730421066284
random,200,7,0.15386584401130676,0.15360228717327118,0.0002635568380355835,0.9998961687088013
random,200,8,0.15386584401130676,0.1535768359899521,0.0002890080213546753,0.999893844127655
random,200,9,0.15386584401130676,0.15352971851825714,0.0003361254930496216,0.999870777130127
top_fused_attention,500,,0.15386584401130676,0.15278318524360657,0.0010826587677001953,0.9995130300521851
random,500,0,0.15386584401130676,0.1527852863073349,0.0010805577039718628,0.9996261596679688
random,500,1,0.15386584401130676,0.1527455598115921,0.0011202841997146606,0.9996030926704407
random,500,2,0.15386584401130676,0.15284861624240875,0.0010172277688980103,0.999628484249115
random,500,3,0.15386584401130676,0.15294712781906128,0.0009187161922454834,0.9996769428253174
random,500,4,0.15386584401130676,0.15282107889652252,0.0010447651147842407,0.9996446371078491
random,500,5,0.15386584401130676,0.15293486416339874,0.00093097984790802,0.9996700286865234
random,500,6,0.15386584401130676,0.1529550403356552,0.0009108036756515503,0.9996469616889954
random,500,7,0.15386584401130676,0.15295502543449402,0.0009108185768127441,0.9996677041053772
random,500,8,0.15386584401130676,0.1529836356639862,0.0008822083473205566,0.9996976852416992
random,500,9,0.15386584401130676,0.15291592478752136,0.0009499192237854004,0.9996423125267029
