layer,attention_module,module_name,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,1.0960597052189769e-07,1.704692840576172e-05,6.33938457283989e-09,0.00016020170005504042,0.2502457408879992,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,1,9.962591462908676e-08,1.6570091247558594e-05,5.821534365679781e-09,0.00013843919441569597,0.22980372364314033,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,2,9.967303071789502e-08,1.2040138244628906e-05,5.0221236058689556e-09,0.00013882688654121011,0.19824716865517228,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,3,1.0109795312018832e-07,1.7642974853515625e-05,4.683016197049028e-09,0.00014440419909078628,0.1848609820647069,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,4,1.047717006485982e-07,1.8715858459472656e-05,6.512776540290588e-09,0.00015001138672232628,0.25709034872968595,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,5,1.0136761119383664e-07,1.239776611328125e-05,7.298436965896826e-09,0.00013581596431322396,0.288104112452832,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,6,9.70186420090613e-08,2.682209014892578e-05,7.708441884801687e-09,0.00014186040789354593,0.30428896186844456,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,7,9.992456995178145e-08,1.1205673217773438e-05,6.81665435209311e-09,0.00013396720169112086,0.26908585511996636,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,1.0754981616400983e-07,1.8596649169921875e-05,1.3335270665493226e-08,0.0001579375530127436,0.5264067275434936,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,1,9.848387350075427e-08,1.6689300537109375e-05,1.637724267311569e-08,0.00013673256034962833,0.6464878694999944,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,2,9.735828854218198e-08,1.1920928955078125e-05,1.618193046226679e-08,0.00013494337326847017,0.6387779651162538,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,3,9.932362843301235e-08,1.71661376953125e-05,1.8216379515934022e-08,0.0001406842638971284,0.7190873713187198,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,4,1.0393434024535964e-07,1.8596649169921875e-05,1.1546142708596108e-08,0.00015039622667245567,0.4557813149387203,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,5,9.944599099753759e-08,1.1265277862548828e-05,1.5351545812336553e-08,0.00013285042950883508,0.6059987229743428,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,6,9.585896521002724e-08,2.658367156982422e-05,1.3060718728752363e-08,0.000139404961373657,0.5155688532936319,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,7,1.0098586500362217e-07,9.834766387939453e-06,1.830124318757953e-08,0.00013685011072084308,0.7224373451436856,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,0,9.683966339935068e-08,1.7881393432617188e-05,2.5134234249435394e-08,0.00014515078510157764,0.9921680881058832,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,1,9.145503554464085e-08,1.8715858459472656e-05,1.997432264033705e-08,0.00013121432857587934,0.7884817698680615,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,2,8.768824955041055e-08,1.0609626770019531e-05,1.937742055702074e-08,0.00012089837400708348,0.7649191980819859,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,3,8.933560025070619e-08,1.52587890625e-05,1.782133907113348e-08,0.0001268869818886742,0.7034932410598655,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,4,9.620971752610785e-08,1.811981201171875e-05,2.231712947775577e-08,0.00014226214261725545,0.8809635283181061,0,head-slot proxy from output feature chunks
1,self_attn,transformer.encoder.layers.1.self_attn,5,9.08933159848857e-08,1.2278556823730469e-05,1.664326809702743e-08,0.0001245350285898894,0.6569891616265289,0,head-slot proxy from output feature chunks
