layer,attention_module,module_name,num_heads,importance_sum_mean_abs_grad,importance_sum_grad_x_activation,target_mask_index
0,self_attn,transformer.encoder.layers.0.self_attn,8,8.130853927923454e-07,5.0202368484519866e-08,0
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,8,8.029407680965051e-07,1.2237047375407428e-07,0
1,self_attn,transformer.encoder.layers.1.self_attn,8,7.303507700839873e-07,1.646786156328517e-07,0
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,8,7.311500453965891e-07,5.212692899547733e-08,0
2,self_attn,transformer.encoder.layers.2.self_attn,8,6.438291535459939e-07,1.3612470262103216e-07,0
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,8,6.46856783248495e-07,3.158171191230963e-08,0
3,self_attn,transformer.encoder.layers.3.self_attn,8,4.981497667699841e-07,1.4302918671660336e-07,0
3,cross_attn_image,transformer.encoder.layers.3.cross_attn_image,8,4.983869246188988e-07,2.9774110510416563e-08,0
4,self_attn,transformer.encoder.layers.4.self_attn,8,3.9114652139460304e-07,1.1752119455366028e-07,0
4,cross_attn_image,transformer.encoder.layers.4.cross_attn_image,8,3.912121364635368e-07,1.8051600214619157e-08,0
5,self_attn,transformer.encoder.layers.5.self_attn,8,2.724282026633773e-07,1.1923603082664158e-07,0
5,cross_attn_image,transformer.encoder.layers.5.cross_attn_image,8,2.7048590212075396e-07,1.8620786246259513e-08,0
