layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
2,0,mean_mask_logit,4.012022714050545e-07,2.8372338420012966e-05,3923,54,35,0.3528953476828463,0.027183545948566135,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.png
4,0,mean_mask_logit,4.2886489381999127e-07,1.8857326722354628e-05,964,13,28,0.37482634339157717,0.007564381538487173,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.png
1,0,mean_mask_logit,2.763797510851873e-07,1.8120743334293365e-05,3923,54,35,0.31624777222036926,-0.2343361147518391,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.png
3,0,mean_mask_logit,3.3482047001598403e-07,1.7650248992140405e-05,3923,54,35,0.3645105925607343,0.07037604437843269,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.png
0,0,mean_mask_logit,2.2608772098919871e-07,1.65977453434607e-05,3923,54,35,0.31121347910912095,-0.08253255247912332,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.png
5,0,mean_mask_logit,2.599581989670696e-07,9.526413123239763e-06,964,13,28,0.3815675550108993,-0.12778014702794904,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.png
0,2,mean_mask_logit,8.102665560727473e-08,6.698089691781206e-06,2638,36,46,0.30636367243846907,0.026921857856693876,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.png
0,1,mean_mask_logit,5.58681279017037e-08,4.633967819245299e-06,2700,37,36,0.37196011141171453,0.14120327954445047,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.png
0,3,mean_mask_logit,5.4576638319758786e-08,3.4564056932140375e-06,3923,54,35,0.28577193357611763,-0.33638824580324134,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.png
0,15,mean_mask_logit,5.84968127270713e-08,2.9937002636870602e-06,3923,54,35,0.3811456618030823,0.23456584202245087,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_15_to_mean_mask_logit.npy,outputs/cat_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_15_to_mean_mask_logit.png
