layer,attention_module,module_name,call_index,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,0,4.182498969385051e-08,6.020069122314453e-06,3.3743505767347415e-09,5.711372796213254e-05,0.07795605490247313,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,1,4.353104543497466e-08,6.496906280517578e-06,3.2834845953289005e-09,6.0664457123493776e-05,0.0758568203166894,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,2,3.391507519268089e-08,4.1425228118896484e-06,2.5658779545523203e-09,4.498156704357825e-05,0.059278287228733975,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,3,3.535083692440821e-08,4.470348358154297e-06,1.9201804590807114e-09,4.6582477807532996e-05,0.0443610377424394,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,4,4.1831942354519924e-08,7.539987564086914e-06,4.4781329755494426e-09,5.9287340263836086e-05,0.10345622725434743,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,5,4.331772984755844e-08,5.543231964111328e-06,3.5014788846154943e-09,5.88141665502917e-05,0.08089304118277851,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,6,3.359706113315042e-08,3.7103891372680664e-06,2.5277917536925543e-09,4.7900590288918465e-05,0.05839839941099466,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,7,4.153094934622459e-08,4.76837158203125e-06,2.678721244819826e-09,5.7151613873429596e-05,0.06188525337864179,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,0,4.5692246430917294e-08,5.453824996948242e-06,6.948241981774572e-09,6.380129343597218e-05,0.16052200892861382,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,1,4.7951939308177316e-08,9.238719940185547e-06,6.555930465168558e-09,6.882561865495518e-05,0.15145861808289876,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,2,4.5832393880118616e-08,9.179115295410156e-06,8.728798128743165e-09,6.766011210856959e-05,0.20165737100599973,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,3,4.711938927925985e-08,8.702278137207031e-06,1.2449098640843204e-08,6.689864676445723e-05,0.28760574666518013,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,4,5.0090566361404854e-08,6.854534149169922e-06,1.6001431291101653e-08,6.968994421185926e-05,0.3696736387878085,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,5,5.158173976838043e-08,1.0788440704345703e-05,8.870527423709973e-09,7.558178913313895e-05,0.20493167711275073,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,6,4.8895490323275226e-08,7.867813110351562e-06,1.021654050248344e-08,6.999223842285573e-05,0.2360279924131748,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,7,4.9117183209546056e-08,1.0609626770019531e-05,1.0731884714232365e-08,6.76851996104233e-05,0.24793375049941557,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,0,6.420017228947472e-08,1.3172626495361328e-05,2.4026480360817004e-08,9.103184856940061e-05,0.5550726219839014,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,1,6.236702176920517e-08,1.055002212524414e-05,3.035539819506994e-08,8.911970508052036e-05,0.7012866726406325,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,2,5.5743132776342463e-08,8.58306884765625e-06,2.4305606416419323e-08,7.68463360145688e-05,0.5615211416680361,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,3,5.0055881217758724e-08,9.953975677490234e-06,1.457392873049912e-08,7.056409231154248e-05,0.3366947098184787,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,4,3.5229810180226195e-08,4.32133674621582e-06,6.404747399102462e-09,4.818516754312441e-05,0.14796590589115682,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,5,4.2817966061647894e-08,5.7220458984375e-06,7.799162204946697e-09,5.929077087785117e-05,0.18018042382260524,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,6,5.731374130846234e-08,1.2993812561035156e-05,2.6921542328750547e-08,8.69953801156953e-05,0.621955894656974,0,"true pre-out-projection SDPA head output [B,H,T,D]"
