layer,query_index,rank,token_index,row,col,attention_mass,map_path
0,144,1,3508,48,52,0.06789351254701614,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,2,3581,49,53,0.05224314332008362,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,3,3003,41,51,0.03766394034028053,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,4,3652,50,52,0.030779441818594933,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,5,4157,57,53,0.018625939264893532,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,6,2359,32,55,0.016748687252402306,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,7,2575,35,55,0.012378678657114506,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,8,2288,31,56,0.008499937132000923,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,9,2287,31,55,0.006788590457290411,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,10,2216,30,56,0.006145819090306759,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,11,2140,29,52,0.005855105817317963,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,12,2217,30,57,0.004838316235691309,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,13,1992,27,48,0.004645749926567078,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,14,2073,28,57,0.0041275713592767715,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,15,2642,36,50,0.003939990885555744,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,16,2640,36,48,0.003811432281509042,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,17,3434,47,50,0.003745568450540304,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,18,3007,41,55,0.00351262791082263,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,19,3081,42,57,0.003466725815087557,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,20,2362,32,58,0.0032187679316848516,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
1,144,1,3652,50,52,0.03376298025250435,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,2,3581,49,53,0.026036174967885017,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,3,3508,48,52,0.02174985222518444,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,4,3867,53,51,0.012385315261781216,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,5,3941,54,53,0.010874380357563496,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,6,3003,41,51,0.009326807223260403,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,7,3149,43,53,0.008043800480663776,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,8,3796,52,52,0.007691205944865942,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,9,3510,48,54,0.00761655205860734,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,10,3579,49,51,0.007159564644098282,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
