condition,k,trial,original_score,ablated_score,score_drop,iou_with_original
top_fused_attention,50,,0.22523583471775055,0.22500263154506683,0.00023320317268371582,0.9998581409454346
random,50,0,0.22523583471775055,0.22507859766483307,0.00015723705291748047,0.9999082088470459
random,50,1,0.22523583471775055,0.22512876987457275,0.00010706484317779541,0.9998870491981506
random,50,2,0.22523583471775055,0.22505725920200348,0.0001785755157470703,0.9999069571495056
random,50,3,0.22523583471775055,0.2250698357820511,0.0001659989356994629,0.9999114274978638
random,50,4,0.22523583471775055,0.22512564063072205,0.00011019408702850342,0.9999390244483948
random,50,5,0.22523583471775055,0.2250753790140152,0.00016045570373535156,0.9999005198478699
random,50,6,0.22523583471775055,0.22509737312793732,0.00013846158981323242,0.9999197721481323
random,50,7,0.22523583471775055,0.22515277564525604,8.305907249450684e-05,0.999917209148407
random,50,8,0.22523583471775055,0.22506867349147797,0.000167161226272583,0.9999030828475952
random,50,9,0.22523583471775055,0.22504746913909912,0.00018836557865142822,0.9998908638954163
top_fused_attention,100,,0.22523583471775055,0.22474496066570282,0.0004908740520477295,0.9997285604476929
random,100,0,0.22523583471775055,0.22493603825569153,0.000299796462059021,0.9998485445976257
random,100,1,0.22523583471775055,0.2249268889427185,0.00030894577503204346,0.9998260736465454
random,100,2,0.22523583471775055,0.22490081191062927,0.00033502280712127686,0.9998177289962769
random,100,3,0.22523583471775055,0.22502046823501587,0.00021536648273468018,0.9998601078987122
random,100,4,0.22523583471775055,0.2248954325914383,0.00034040212631225586,0.9998248219490051
random,100,5,0.22523583471775055,0.22492457926273346,0.00031125545501708984,0.9998485445976257
random,100,6,0.22523583471775055,0.22493278980255127,0.0003030449151992798,0.9998260736465454
random,100,7,0.22523583471775055,0.22502191364765167,0.00021392107009887695,0.9998106956481934
random,100,8,0.22523583471775055,0.22490091621875763,0.0003349184989929199,0.9998279809951782
random,100,9,0.22523583471775055,0.22492724657058716,0.0003085881471633911,0.9998305439949036
top_fused_attention,200,,0.22523583471775055,0.2243945449590683,0.000841289758682251,0.9993860125541687
random,200,0,0.22523583471775055,0.2247767299413681,0.0004591047763824463,0.9996926188468933
random,200,1,0.22523583471775055,0.22469772398471832,0.0005381107330322266,0.9996791481971741
random,200,2,0.22523583471775055,0.2246648371219635,0.0005709975957870483,0.9997221231460571
random,200,3,0.22523583471775055,0.2245780974626541,0.0006577372550964355,0.9996727108955383
random,200,4,0.22523583471775055,0.22474466264247894,0.0004911720752716064,0.9997676610946655
random,200,5,0.22523583471775055,0.22467312216758728,0.000562712550163269,0.9997265934944153
random,200,6,0.22523583471775055,0.22482453286647797,0.000411301851272583,0.9997388124465942
random,200,7,0.22523583471775055,0.22465060651302338,0.0005852282047271729,0.9997028708457947
random,200,8,0.22523583471775055,0.2246847003698349,0.0005511343479156494,0.9997234344482422
random,200,9,0.22523583471775055,0.22463220357894897,0.0006036311388015747,0.9996823668479919
top_fused_attention,500,,0.22523583471775055,0.2227625697851181,0.0024732649326324463,0.9984486699104309
random,500,0,0.22523583471775055,0.2236786186695099,0.0015572160482406616,0.9992872476577759
random,500,1,0.22523583471775055,0.2236550897359848,0.001580744981765747,0.9992961883544922
random,500,2,0.22523583471775055,0.22394493222236633,0.0012909024953842163,0.9993360042572021
random,500,3,0.22523583471775055,0.22373975813388824,0.0014960765838623047,0.9992988109588623
random,500,4,0.22523583471775055,0.22384628653526306,0.0013895481824874878,0.9993007183074951
random,500,5,0.22523583471775055,0.22380104660987854,0.0014347881078720093,0.9993308782577515
random,500,6,0.22523583471775055,0.22394846379756927,0.0012873709201812744,0.999277651309967
random,500,7,0.22523583471775055,0.22384576499462128,0.0013900697231292725,0.9993051886558533
random,500,8,0.22523583471775055,0.2239917665719986,0.0012440681457519531,0.9993283152580261
random,500,9,0.22523583471775055,0.22374002635478973,0.0014958083629608154,0.9993090629577637
