layer,attention_module,module_name,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,1.52592321001066e-07,1.6927719116210938e-05,8.77901396023617e-09,0.00019127648556604981,0.24553458973695463,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,1,1.379506073817538e-07,2.7179718017578125e-05,7.793119038979057e-09,0.00017283680790569633,0.21796072937962355,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,2,1.3561719924837234e-07,1.2099742889404297e-05,6.82136391816357e-09,0.0001638295070733875,0.19078233599798267,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,3,1.396494297978279e-07,1.537799835205078e-05,6.829296239629912e-09,0.0001715888356557116,0.19100418999043806,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,4,1.3823043332195084e-07,1.4960765838623047e-05,8.706013687742598e-09,0.00016524408420082182,0.24349289211139202,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,5,1.359333907657856e-07,1.4781951904296875e-05,9.604073980540306e-09,0.00016306473116856068,0.2686101622911518,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,6,1.3178467384022952e-07,1.9788742065429688e-05,1.082593570345125e-08,0.00016152436728589237,0.3027836262142182,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,7,1.424460691623608e-07,1.5497207641601562e-05,9.679389734174038e-09,0.00017720145115163177,0.27071662011807274,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,1.494462367190863e-07,1.5974044799804688e-05,1.7498276605465435e-08,0.00018730058218352497,0.4893980334109328,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,1,1.364950321658398e-07,2.5153160095214844e-05,2.2152978118583633e-08,0.00017119380936492234,0.619582383447063,0,head-slot proxy from output feature chunks
