prompt_token_index,active_token,l2_grad,mean_abs_grad,max_abs_grad,normalized_l2_grad
0,1,0.0020345060620456934,0.00010237135575152934,0.00037212297320365906,0.9999999995084802
2,1,0.0011908980086445808,5.9749847423518077e-05,0.00022144056856632233,0.5853499432986621
32,1,0.0010864620562642813,5.322900688042864e-05,0.00020940974354743958,0.5340176055498342
1,1,0.0005295545561239123,2.5914905563695356e-05,9.664543904364109e-05,0.260286546077508
3,0,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,0.0,0.0
19,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
24,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
26,0,0.0,0.0,0.0,0.0
27,0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0
29,0,0.0,0.0,0.0,0.0
30,0,0.0,0.0,0.0,0.0
31,0,0.0,0.0,0.0,0.0
