layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
4,0,mean_mask_logit,5.513197152140492e-07,2.614964068925474e-05,4304,59,56,0.43138721628722615,0.03813711271906974,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.png
2,0,mean_mask_logit,5.08130199250445e-07,1.8905942852143198e-05,3926,54,38,0.4238449651323477,0.023917215724435115,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.png
5,0,mean_mask_logit,3.6970232031308115e-07,1.7564252630108967e-05,4304,59,56,0.38907967083269707,-0.1623408770687666,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.png
3,0,mean_mask_logit,4.282229042473773e-07,1.5673451343900524e-05,4304,59,56,0.4688911686785736,0.21361322614256176,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.png
0,2,mean_mask_logit,1.0722439469645906e-07,1.555520429974422e-05,4429,61,37,0.3857762692582482,0.09912873417458952,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.png
1,0,mean_mask_logit,3.55045784772301e-07,9.959091585187707e-06,3926,54,38,0.3464154718852692,-0.42303633730671836,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.png
0,0,mean_mask_logit,2.754498211743339e-07,8.557232831662986e-06,4429,61,37,0.376144556211475,-0.06257105625936091,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.png
0,1,mean_mask_logit,7.937101997868012e-08,6.888834377605235e-06,2061,28,45,0.4523538203016709,0.21876508168121997,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.png
0,3,mean_mask_logit,9.752927354611529e-08,4.0171080399886705e-06,4429,61,37,0.40250589228061584,0.02999716281047521,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.png
0,9,mean_mask_logit,7.340760532770219e-08,3.993895916210022e-06,4429,61,37,0.4223878968807344,0.21217442491039076,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_9_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_9_to_mean_mask_logit.png
0,15,mean_mask_logit,7.853154926351635e-08,3.3617482131376164e-06,4429,61,37,0.402917937854287,-0.012818447628819483,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_15_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_15_to_mean_mask_logit.png
0,11,mean_mask_logit,6.192209411892691e-08,3.1913489237922477e-06,4429,61,37,0.4324362745612916,0.28315148247539557,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_11_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_11_to_mean_mask_logit.png
0,14,mean_mask_logit,7.201570895176701e-08,3.165597490806249e-06,4429,61,37,0.40680604721938035,0.030742192138874733,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_14_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_14_to_mean_mask_logit.png
0,13,mean_mask_logit,6.511087491389844e-08,3.0257601792982314e-06,4429,61,37,0.41636296805633,0.14869703664579467,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_13_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_13_to_mean_mask_logit.png
0,10,mean_mask_logit,6.489533177500562e-08,2.99543921755685e-06,4429,61,37,0.4165981730778366,0.14064520568449043,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_10_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_10_to_mean_mask_logit.png
0,8,mean_mask_logit,7.122863365793819e-08,2.950138650703593e-06,4429,61,37,0.3870407813536359,-0.21892111972416428,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_8_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_8_to_mean_mask_logit.png
0,12,mean_mask_logit,5.929789637093563e-08,2.733639348662109e-06,4429,61,37,0.42956766876195523,0.2411482564689062,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_12_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_12_to_mean_mask_logit.png
0,5,mean_mask_logit,7.28680973338669e-08,2.6305813207727624e-06,4429,61,37,0.35792683346598825,-0.3883632050014387,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_5_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_5_to_mean_mask_logit.png
