layer,attention_module,module_name,call_index,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,0,5.768995592347892e-08,9.357929229736328e-06,4.672077391632001e-09,7.214237848529592e-05,0.0826919925146971,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,1,5.519511248053277e-08,7.748603820800781e-06,4.7221111465489685e-09,6.879467400722206e-05,0.08357754952505107,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,2,4.700306988070224e-08,7.450580596923828e-06,4.475796622216421e-09,5.957630855846219e-05,0.07921798158663271,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,3,4.870548409030562e-08,5.21540641784668e-06,2.3061035303584276e-09,5.826858614454977e-05,0.04081616803096312,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,4,5.662482749357878e-08,6.139278411865234e-06,6.293465304452184e-09,6.96169154252857e-05,0.11138924769940048,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,5,5.810532144323588e-08,6.020069122314453e-06,5.371111555518837e-09,6.993138958932832e-05,0.09506433205495803,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,6,4.539328557484623e-08,5.27501106262207e-06,3.575487461660032e-09,5.636271453113295e-05,0.06328323733368345,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,7,5.510403866537672e-08,7.68899917602539e-06,3.1543956335866596e-09,6.838358240202069e-05,0.05583025242435597,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,0,6.098869675952301e-08,1.1205673217773438e-05,1.0485232238011122e-08,8.573287050239742e-05,0.1855801334313106,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,1,6.212208347733394e-08,1.0848045349121094e-05,7.819668468300733e-09,8.24192029540427e-05,0.13840180978300645,0,"true pre-out-projection SDPA head output [B,H,T,D]"
