example,k,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou,random_iou_mean,iou_drop_advantage
schoolbus,50,0.0007096529006958,0.00037936270236965,0.00033029019832615,0.9995673298835754,0.9999410152435303,0.0003736853599548562
schoolbus,100,0.0009414553642272,0.00067599117755885,0.00026546418666835,0.9993836879730223,0.9998831927776337,0.0004995048046113615
schoolbus,200,0.0015242993831634,0.0011801213026046199,0.00034417808055878024,0.9993836879730223,0.9998016238212586,0.0004179358482362394
schoolbus,500,0.0044066756963729,0.00255134701728815,0.00185532867908475,0.999345362186432,0.9995971500873566,0.000251787900924616
cat,50,1.551210880279541e-05,4.120767116546631e-05,-2.56955623626709e-05,0.9999584555625916,0.9999593794345856,9.238719940185547e-07
cat,100,8.557736873626709e-05,0.00010149031877516491,-1.5912950038897818e-05,0.9999353885650636,0.999938142299652,2.7537345884676157e-06
cat,200,0.0002634078264236,0.00028800517320628995,-2.459734678268992e-05,0.9998384714126588,0.9998864531517029,4.798173904407843e-05
cat,500,0.0010826587677001,0.0009766280651092101,0.00010603070259088978,0.9995130300521852,0.9996504008769989,0.00013737082481368734
dog,50,0.0002332031726837,0.00014565736055369068,8.754581213000931e-05,0.9998581409454346,0.9999084115028382,5.027055740358666e-05
dog,100,0.0004908740520477,0.00029712617397302,0.00019374787807468,0.9997285604476928,0.9998321115970612,0.00010355114936844156
dog,200,0.0008412897586822,0.00054311305284495,0.00029817670583725,0.9993860125541688,0.9997108340263366,0.0003248214721678355
dog,500,0.0024732649326324,0.00141665935516353,0.00105660557746887,0.9984486699104308,0.9993070065975189,0.0008583366870881237
