example,rank,query_index,l2_grad,mean_abs_grad,max_abs_grad,normalized_l2_grad,is_responsible_query
schoolbus,1,144,0.0057114260271191,4.509808059083298e-05,0.0012741088867187,0.9999999403953552,1
schoolbus,2,125,0.0,0.0,0.0,0.0,0
schoolbus,3,126,0.0,0.0,0.0,0.0,0
schoolbus,4,127,0.0,0.0,0.0,0.0,0
schoolbus,5,128,0.0,0.0,0.0,0.0,0
schoolbus,6,129,0.0,0.0,0.0,0.0,0
schoolbus,7,130,0.0,0.0,0.0,0.0,0
schoolbus,8,131,0.0,0.0,0.0,0.0,0
schoolbus,9,132,0.0,0.0,0.0,0.0,0
schoolbus,10,133,0.0,0.0,0.0,0.0,0
schoolbus,11,134,0.0,0.0,0.0,0.0,0
schoolbus,12,135,0.0,0.0,0.0,0.0,0
schoolbus,13,191,0.0,0.0,0.0,0.0,0
schoolbus,14,137,0.0,0.0,0.0,0.0,0
schoolbus,15,138,0.0,0.0,0.0,0.0,0
schoolbus,16,139,0.0,0.0,0.0,0.0,0
schoolbus,17,140,0.0,0.0,0.0,0.0,0
schoolbus,18,141,0.0,0.0,0.0,0.0,0
schoolbus,19,142,0.0,0.0,0.0,0.0,0
schoolbus,20,143,0.0,0.0,0.0,0.0,0
cat,1,144,0.0010188991436734,8.478836207359564e-06,0.00018310546875,1.0,1
cat,2,125,0.0,0.0,0.0,0.0,0
cat,3,126,0.0,0.0,0.0,0.0,0
cat,4,127,0.0,0.0,0.0,0.0,0
cat,5,128,0.0,0.0,0.0,0.0,0
cat,6,129,0.0,0.0,0.0,0.0,0
cat,7,130,0.0,0.0,0.0,0.0,0
cat,8,131,0.0,0.0,0.0,0.0,0
cat,9,132,0.0,0.0,0.0,0.0,0
cat,10,133,0.0,0.0,0.0,0.0,0
cat,11,134,0.0,0.0,0.0,0.0,0
cat,12,135,0.0,0.0,0.0,0.0,0
cat,13,191,0.0,0.0,0.0,0.0,0
cat,14,137,0.0,0.0,0.0,0.0,0
cat,15,138,0.0,0.0,0.0,0.0,0
cat,16,139,0.0,0.0,0.0,0.0,0
cat,17,140,0.0,0.0,0.0,0.0,0
cat,18,141,0.0,0.0,0.0,0.0,0
cat,19,142,0.0,0.0,0.0,0.0,0
cat,20,143,0.0,0.0,0.0,0.0,0
dog,1,144,0.001685888855718,1.384458300890401e-05,0.0003528594970703,1.0,1
dog,2,125,0.0,0.0,0.0,0.0,0
dog,3,126,0.0,0.0,0.0,0.0,0
dog,4,127,0.0,0.0,0.0,0.0,0
dog,5,128,0.0,0.0,0.0,0.0,0
dog,6,129,0.0,0.0,0.0,0.0,0
dog,7,130,0.0,0.0,0.0,0.0,0
dog,8,131,0.0,0.0,0.0,0.0,0
dog,9,132,0.0,0.0,0.0,0.0,0
dog,10,133,0.0,0.0,0.0,0.0,0
dog,11,134,0.0,0.0,0.0,0.0,0
dog,12,135,0.0,0.0,0.0,0.0,0
dog,13,191,0.0,0.0,0.0,0.0,0
dog,14,137,0.0,0.0,0.0,0.0,0
dog,15,138,0.0,0.0,0.0,0.0,0
dog,16,139,0.0,0.0,0.0,0.0,0
dog,17,140,0.0,0.0,0.0,0.0,0
dog,18,141,0.0,0.0,0.0,0.0,0
dog,19,142,0.0,0.0,0.0,0.0,0
dog,20,143,0.0,0.0,0.0,0.0,0
