layer,k,condition,trial,original_score,ablated_score,score_drop,iou_with_original,iou_drop,ablation_mode,delta_grad_path,token_indices_preview
0,20,top_delta_grad,0,0.22669436037540436,0.2265360802412033,0.0001582801342010498,0.9999234080314636,7.659196853637695e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2191, 2272, 3788, 1847, 2401, 2978, 3119, 3116, 3982, 2707, 1808, 2273, 3250, 3355, 1830, 3261, 2260, 2607, 3425, 2841]"
0,20,random,0,0.22669436037540436,0.22663892805576324,5.543231964111328e-05,0.9999655485153198,3.445148468017578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[3282, 581, 3997, 4316, 4945, 629, 2422, 855, 4256, 3139, 3569, 3842, 552, 4022, 5115, 3668, 1440, 4903, 2302, 5034]"
0,20,random,1,0.22669436037540436,0.22636377811431885,0.00033058226108551025,0.9999616742134094,3.832578659057617e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2476, 804, 870, 1502, 3115, 1260, 4332, 3372, 1243, 4688, 5088, 172, 1611, 5067, 2945, 4941, 2891, 4139, 716, 2876]"
1,20,top_delta_grad,0,0.22669436037540436,0.22656555473804474,0.00012880563735961914,0.9999349117279053,6.508827209472656e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[2272, 2707, 1847, 2191, 2978, 2401, 3250, 2273, 1808, 2607, 3261, 3788, 3425, 2627, 3218, 1830, 3119, 3538, 2717, 2777]"
1,20,random,0,0.22669436037540436,0.22657647728919983,0.00011788308620452881,0.9999731779098511,2.682209014892578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[4953, 2070, 1388, 1435, 15, 3350, 4371, 2144, 4495, 1315, 3954, 4267, 4675, 66, 297, 3559, 3381, 3064, 1545, 854]"
1,20,random,1,0.22669436037540436,0.2264658808708191,0.0002284795045852661,0.9999578595161438,4.214048385620117e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[1390, 1158, 1152, 831, 3033, 409, 87, 3545, 1384, 2170, 4152, 4416, 283, 2568, 227, 377, 3903, 322, 2846, 188]"
2,20,top_delta_grad,0,0.22669436037540436,0.22680215537548065,-0.00010779500007629395,0.9998506307601929,0.0001493692398071289,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_2_delta_grad.npy,"[2272, 2191, 1847, 2707, 2401, 2978, 2273, 3218, 3119, 1917, 4420, 3354, 1808, 3355, 2717, 1915, 1981, 2695, 3250, 2263]"
2,20,random,0,0.22669436037540436,0.22643828392028809,0.00025607645511627197,0.9999616742134094,3.832578659057617e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_2_delta_grad.npy,"[770, 1558, 4861, 4722, 640, 120, 319, 5169, 1079, 1644, 2840, 1860, 4837, 4155, 417, 2041, 3207, 2536, 1406, 3043]"
2,20,random,1,0.22669436037540436,0.22650007903575897,0.00019428133964538574,0.9999655485153198,3.445148468017578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_2_delta_grad.npy,"[375, 3004, 1237, 640, 3165, 3750, 359, 866, 4256, 2939, 2129, 91, 4919, 3802, 4628, 2146, 772, 3341, 1898, 584]"
3,20,top_delta_grad,0,0.22669436037540436,0.2269853800535202,-0.0002910196781158447,0.999724268913269,0.00027573108673095703,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[2191, 4420, 1981, 2273, 3355, 3218, 2713, 2251, 2841, 2959, 1911, 2717, 1980, 2695, 4150, 4419, 3538, 2707, 1976, 2263]"
3,20,random,0,0.22669436037540436,0.22647079825401306,0.0002235621213912964,0.9999731779098511,2.682209014892578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[60, 1525, 1028, 2456, 2712, 483, 1244, 102, 5040, 4785, 5162, 1423, 2473, 954, 4798, 4046, 5015, 1787, 2513, 3959]"
3,20,random,1,0.22669436037540436,0.2264653593301773,0.00022900104522705078,0.9999655485153198,3.445148468017578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[3966, 4173, 3761, 4489, 45, 1176, 3444, 2867, 1851, 2841, 4863, 3300, 4558, 2450, 251, 723, 4169, 3786, 4019, 3068]"
4,20,top_delta_grad,0,0.22669436037540436,0.22731640934944153,-0.0006220489740371704,0.9996898174285889,0.0003101825714111328,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[4420, 2251, 2717, 1981, 2707, 4419, 1911, 2110, 3065, 2062, 2183, 2500, 2263, 2645, 2355, 4421, 2248, 2179, 2357, 3119]"
4,20,random,0,0.22669436037540436,0.22650596499443054,0.00018839538097381592,0.9999540448188782,4.595518112182617e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[4111, 2969, 2692, 2351, 1811, 873, 4178, 516, 1040, 3036, 4259, 1618, 2205, 3509, 1820, 1858, 3762, 2204, 2049, 3989]"
4,20,random,1,0.22669436037540436,0.22658440470695496,0.00010995566844940186,0.9999731779098511,2.682209014892578e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[5046, 5166, 97, 3948, 3234, 4445, 2433, 1849, 4101, 2740, 1444, 59, 1271, 1204, 2535, 1013, 3162, 19, 1519, 2119]"
5,20,top_delta_grad,0,0.22669436037540436,0.22751136124134064,-0.0008170008659362793,0.99959796667099,0.00040203332901000977,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_5_delta_grad.npy,"[4420, 4419, 1911, 4421, 2645, 2860, 2500, 2390, 2717, 4349, 2789, 2861, 4347, 3967, 3751, 2959, 4214, 2429, 2573, 2251]"
5,20,random,0,0.22669436037540436,0.22644729912281036,0.00024706125259399414,0.9999578595161438,4.214048385620117e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_5_delta_grad.npy,"[1665, 1022, 3243, 1091, 3433, 3575, 3698, 601, 3839, 2523, 1964, 4624, 4259, 1901, 5063, 4012, 2930, 4632, 4587, 2139]"
5,20,random,1,0.22669436037540436,0.22644037008285522,0.0002539902925491333,0.9999387264251709,6.127357482910156e-05,zero,outputs/schoolbus_deltaf_grad/mm_grad/layer_5_delta_grad.npy,"[73, 558, 1609, 1540, 4252, 1200, 2425, 372, 4241, 4187, 4105, 1016, 4633, 245, 2759, 2045, 3964, 946, 3123, 2779]"
