layer,k,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,0.0003155320882797241,0.00032733877499898273,-1.1806686719258608e-05,0.0001761913299560547,4.341204961140951e-05,0.00013277928034464517
0,100,0.00018249452114105225,0.0007417996724446615,-0.0005593051513036092,0.0003905296325683594,0.0001442432403564453,0.00024628639221191406
0,200,0.0007403045892715454,0.00125369926293691,-0.0005133946736653645,0.0009413957595825195,0.0002144773801167806,0.0007269183794657389
0,500,0.01005573570728302,0.0025715380907058716,0.0074841976165771484,0.0021802186965942383,0.00041228532791137695,0.0017679333686828613
1,50,-6.416440010070801e-05,0.0003850857416788737,-0.0004492501417795817,0.0002986788749694824,7.275740305582683e-05,0.00022592147191365558
1,100,0.000221937894821167,0.0006871670484542847,-0.0004652291536331177,0.0005359649658203125,0.000114897886912028,0.0004210670789082845
1,200,0.0010749995708465576,0.0012402931849161785,-0.00016529361406962084,0.0009681582450866699,0.0001685023307800293,0.0007996559143066406
1,500,0.011909201741218567,0.0026221623023351035,0.009287039438883463,0.0022912025451660156,0.00041357676188151043,0.0018776257832845051
2,50,-0.00013305246829986572,0.0004711846510569255,-0.0006042371193567913,0.0002948641777038574,7.148583730061849e-05,0.00022337834040323895
2,100,5.112588405609131e-05,0.0007328043381373087,-0.0006816784540812174,0.0006086826324462891,0.0001123348871866862,0.0004963477452596029
2,200,0.0008671730756759644,0.0012150804201761882,-0.00034790734450022387,0.001021742820739746,0.00019146998723347983,0.0008302728335062662
2,500,0.010779395699501038,0.0026207963625590005,0.008158599336942038,0.0026769638061523438,0.00038550297419230145,0.0022914608319600425
3,50,-0.00042298436164855957,0.0004006276528040568,-0.0008236120144526164,0.000371396541595459,5.61674435933431e-05,0.0003152290980021159
3,100,-0.00029328465461730957,0.0007030268510182699,-0.0009963115056355796,0.0006278157234191895,0.00012638171513875326,0.0005014340082804362
3,200,0.0006090104579925537,0.0012302249670028687,-0.0006212145090103149,0.0014116168022155762,0.00021064281463623047,0.0012009739875793457
3,500,0.010502651333808899,0.002547000845273336,0.007955650488535563,0.0031121373176574707,0.00039569536844889325,0.0027164419492085776
4,50,-0.0007812231779098511,0.0003630916277567546,-0.0011443148056666057,0.0005589127540588379,5.745887756347656e-05,0.0005014538764953613
4,100,-0.00027939677238464355,0.0007112522919972738,-0.0009906490643819175,0.0010904669761657715,0.0001021424929300944,0.000988324483235677
4,200,0.00041875243186950684,0.001180569330851237,-0.0007618168989817302,0.0015833377838134766,0.0001800060272216797,0.0014033317565917969
4,500,0.009155377745628357,0.0026023139556248984,0.006553063790003458,0.00285184383392334,0.00040974219640096027,0.0024421016375223794
5,50,-0.0007221698760986328,0.000369762380917867,-0.0010919322570164998,0.000838160514831543,6.639957427978516e-05,0.0007717609405517578
5,100,-0.0007701963186264038,0.0007571925719579061,-0.00152738889058431,0.0010407567024230957,0.00013148784637451172,0.000909268856048584
5,200,-0.00016304850578308105,0.0011370281378428142,-0.0013000766436258953,0.001205146312713623,0.00018254915873209635,0.0010225971539815266
5,500,0.007429212331771851,0.002596591909726461,0.004832620422045389,0.002500176429748535,0.0003816684087117513,0.0021185080210367837
