layer,k,query_index,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,144,0.0002662539482116699,0.0003621975580851237,-9.59436098734538e-05,3.445148468017578e-05,4.851818084716797e-05,-1.4066696166992188e-05
0,100,144,0.00048342347145080566,0.0007820228735605875,-0.00029859940210978186,0.00013405084609985352,0.00012254714965820312,1.150369644165039e-05
0,200,144,0.0008770227432250977,0.001055563489596049,-0.0001785407463709514,0.00018769502639770508,0.00018511215845743814,2.582867940266936e-06
0,500,144,0.0017677396535873413,0.002533217271169027,-0.0007654776175816855,0.00019913911819458008,0.00040974219640096027,-0.0002106030782063802
1,50,144,0.0004789084196090698,0.0004000018040339152,7.89066155751546e-05,0.00040596723556518555,7.148583730061849e-05,0.0003344813982645671
1,100,144,0.0010305792093276978,0.0007404983043670654,0.0002900809049606323,0.00043648481369018555,9.320179621378581e-05,0.0003432830174763997
1,200,144,0.0017398744821548462,0.0012303441762924194,0.0005095303058624268,0.0006048083305358887,0.00018254915873209635,0.00042225917180379235
1,500,144,0.004842638969421387,0.0026369988918304443,0.0022056400775909424,0.0007082223892211914,0.00036380688349405926,0.00034441550572713214
2,50,144,0.0003231465816497803,0.00037445127964019775,-5.130469799041748e-05,0.00042510032653808594,5.87304433186849e-05,0.00036636988321940106
2,100,144,0.0008430629968643188,0.0006718238194783529,0.00017123917738596595,0.00040978193283081055,0.00010722875595092773,0.0003025531768798828
2,200,144,0.001076623797416687,0.0012230277061462402,-0.00014640390872955322,0.00038677453994750977,0.00020043055216471353,0.00018634398778279623
2,500,144,0.0035048723220825195,0.0025355319182078042,0.0009693404038747153,0.0005972385406494141,0.00040334463119506836,0.0001938939094543457
3,50,144,0.0004920512437820435,0.0003923277060190837,9.972353776295978e-05,0.00039058923721313477,5.8710575103759766e-05,0.000331878662109375
3,100,144,0.0009011179208755493,0.0007708619038263956,0.00013025601704915368,0.0006239414215087891,0.00013405084609985352,0.0004898905754089355
3,200,144,0.0015682876110076904,0.0011608799298604329,0.00040740768114725756,0.0006622076034545898,0.00019405285517374674,0.00046815474828084314
3,500,144,0.004816070199012756,0.002611378828684489,0.0022046913703282676,0.0009605288505554199,0.00039188067118326825,0.0005686481793721516
4,50,144,0.0007126182317733765,0.0003430694341659546,0.0003695487976074219,0.00044417381286621094,5.743900934855143e-05,0.0003867348035176595
4,100,144,0.0008615702390670776,0.0007731467485427856,8.842349052429199e-05,0.0006430745124816895,0.00012638171513875326,0.0005166927973429362
4,200,144,0.001606971025466919,0.001100197434425354,0.0005067735910415649,0.0007042884826660156,0.00020935138066609701,0.0004949371019999186
4,500,144,0.004132121801376343,0.0025257368882497153,0.0016063849131266275,0.0007731914520263672,0.00041355689366658527,0.0003596345583597819
5,50,144,0.0005745142698287964,0.00030737121899922687,0.0002671430508295695,0.0004862546920776367,6.767114003499349e-05,0.00041858355204264325
5,100,144,0.0007452815771102905,0.0007096529006958008,3.5628676414489746e-05,0.0006928443908691406,0.00013532241185506186,0.0005575219790140787
5,200,144,0.002001628279685974,0.0011203934748967488,0.0008812348047892253,0.0008840560913085938,0.00021318594614664713,0.0006708701451619467
5,500,144,0.006430685520172119,0.0026775896549224854,0.003753095865249634,0.0009108781814575195,0.00039058923721313477,0.0005202889442443848
