layer,query_index,rank,token_index,row,col,attention_mass,map_path
0,144,1,2572,35,52,0.2860398590564728,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,2,3291,45,51,0.01816251315176487,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,3,3075,42,51,0.005332067143172026,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,4,2000,27,56,0.0037173915188759565,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,5,2715,37,51,0.0035619703121483326,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,6,2138,29,50,0.0032376227900385857,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,7,3143,43,47,0.0028651473112404346,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,8,1928,26,56,0.0027880752459168434,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,9,2647,36,55,0.0027460320852696896,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,10,2571,35,51,0.002730355132371187,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,11,3077,42,53,0.0023213871754705906,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,12,2215,30,55,0.002121157478541136,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,13,3254,45,14,0.002120603807270527,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,14,3259,45,19,0.002085629152134061,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,15,2140,29,52,0.002061684150248766,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,16,3295,45,55,0.0019035420846194029,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,17,3076,42,52,0.001879124902188778,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,18,2072,28,56,0.0018184627406299114,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,19,2639,36,47,0.0017851474694907665,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
0,144,20,2788,38,52,0.001737596350722015,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.png
1,144,1,2572,35,52,0.05392957478761673,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,2,2788,38,52,0.04284706339240074,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,3,2283,31,51,0.03830031678080559,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,4,2931,40,51,0.027161387726664543,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,5,2786,38,50,0.022591974586248398,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,6,2356,32,52,0.018769700080156326,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,7,2571,35,51,0.01768031343817711,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,8,2715,37,51,0.017634546384215355,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,9,2858,39,50,0.016245823353528976,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,10,3075,42,51,0.01387178897857666,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,11,2498,34,50,0.011188704520463943,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,12,2427,33,51,0.011176323518157005,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,13,2499,34,51,0.010475890710949898,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,14,2787,38,51,0.009273405186831951,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,15,2426,33,50,0.006989748682826757,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,16,2211,30,51,0.006468562409281731,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,17,2642,36,50,0.0063855694606900215,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,18,2859,39,51,0.00620732456445694,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,19,2138,29,50,0.005899770185351372,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,20,3291,45,51,0.005809302441775799,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
2,144,1,2572,35,52,0.06557662785053253,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,2,2283,31,51,0.06025154888629913,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
