prompt_token_index,active_token,l2_grad,mean_abs_grad,max_abs_grad,normalized_l2_grad
0,1,0.006918294820934534,0.0003417062107473612,0.0013483166694641113,0.9999999998554556
4,1,0.0036688579712063074,0.00017969845794141293,0.0006194440647959709,0.5303124636397614
32,1,0.0030709721613675356,0.00015582858759444207,0.0004969984292984009,0.4438914848830932
3,1,0.001780727761797607,8.864139090292156e-05,0.0003813663497567177,0.2573940266540519
1,1,0.0014565185410901904,7.25220306776464e-05,0.00024359830422326922,0.21053143564687088
2,1,0.0009358522947877645,4.632493437384255e-05,0.00016499520279467106,0.13527210373004545
5,0,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,0.0,0.0
19,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
24,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
26,0,0.0,0.0,0.0,0.0
27,0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0
29,0,0.0,0.0,0.0,0.0
30,0,0.0,0.0,0.0,0.0
31,0,0.0,0.0,0.0,0.0
