layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
4,0,mean_mask_logit,1.7967702206078684e-06,8.877541404217482e-05,4420,61,28,0.4279661257589712,0.060044187918229165,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_0_to_mean_mask_logit.png
2,0,mean_mask_logit,1.7025713532348163e-06,6.897736602695659e-05,2272,31,40,0.32831149154581835,-0.19990762897021724,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_0_to_mean_mask_logit.png
3,0,mean_mask_logit,1.4680121012133895e-06,5.862951002200134e-05,4420,61,28,0.46344604307187515,0.3037717695558662,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_0_to_mean_mask_logit.png
1,0,mean_mask_logit,1.4297429515863769e-06,5.5573567806277424e-05,2707,37,43,0.2719974873419066,-0.4035104937513436,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_0_to_mean_mask_logit.png
5,0,mean_mask_logit,9.63594743552676e-07,4.703942977357656e-05,4420,61,28,0.43602876175310074,-0.22751098743908205,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_0_to_mean_mask_logit.png
0,4,mean_mask_logit,3.405639574793895e-07,3.80038472940214e-05,1847,25,47,0.49305438934384815,0.38691771660752544,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_4_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_4_to_mean_mask_logit.png
0,0,mean_mask_logit,9.057524152922269e-07,3.6006676964461803e-05,2285,31,53,0.22458740896235152,-0.2771042891391852,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_0_to_mean_mask_logit.png
0,3,mean_mask_logit,3.304762401512562e-07,2.959812991321087e-05,1847,25,47,0.4224885554502562,0.25881784194083635,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_3_to_mean_mask_logit.png
0,2,mean_mask_logit,1.9809692730632378e-07,2.1001373170292936e-05,2707,37,43,0.28445156200473487,-0.20582752479615016,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_2_to_mean_mask_logit.png
0,1,mean_mask_logit,2.232129219237322e-07,1.8229311535833403e-05,3788,52,44,0.22272141775070609,-0.09880558808099461,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_0_prompt_token_1_to_mean_mask_logit.png
