layer,attention_module,module_name,call_index,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,0,2.471155085004284e-07,2.8371810913085938e-05,1.9560163266874042e-08,0.00035031247534789145,0.09666373997963866,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,1,2.603475195428473e-07,3.409385681152344e-05,1.6655674173193802e-08,0.000406358070904389,0.08231013900532164,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,2,2.0302445591369178e-07,2.8133392333984375e-05,1.6054183760161322e-08,0.00029485116829164326,0.07933765293287237,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,3,2.0290400470912573e-07,2.2411346435546875e-05,1.2192571396951735e-08,0.0002832462196238339,0.06025407534271946,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,4,2.4518388386240986e-07,2.968311309814453e-05,2.6659833451958548e-08,0.00034543834044598043,0.13174937108346726,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,5,2.3682096639277006e-07,3.337860107421875e-05,2.2627288487342412e-08,0.00033319558133371174,0.11182106718346867,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,6,1.888234493208074e-07,2.7060508728027344e-05,1.4317417473819205e-08,0.0002616010024212301,0.07075478363787559,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,self_attn,transformer.encoder.layers.0.self_attn,0,7,2.5244540324820264e-07,3.6716461181640625e-05,1.9614454060956632e-08,0.00036669327528215945,0.09693203790388835,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,0,2.8124972573095874e-07,3.4332275390625e-05,8.818150831757521e-08,0.00044656454701907933,0.4357813518590669,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,1,2.826454306159576e-07,4.124641418457031e-05,4.821428589707466e-08,0.0004363097541499883,0.23826862443176333,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,2,2.782746548746218e-07,4.935264587402344e-05,6.344882308439992e-08,0.0004216990200802684,0.3135556924021877,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,3,2.7369785016162496e-07,3.3855438232421875e-05,8.3158859354171e-08,0.00040393107337877154,0.41096008494102776,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,4,2.895261275170924e-07,3.218650817871094e-05,7.87354750286795e-08,0.00042383308755233884,0.3891003046091608,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,5,3.094496605626773e-07,4.124641418457031e-05,4.6438088929789956e-08,0.00047182521666400135,0.22949089392636401,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,6,2.8965939691261156e-07,3.4809112548828125e-05,6.038729338797566e-08,0.00045473838690668344,0.2984260175381603,0,"true pre-out-projection SDPA head output [B,H,T,D]"
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,7,2.8897960646645515e-07,3.4809112548828125e-05,7.439942351084028e-08,0.0004270989156793803,0.367672111462708,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,0,3.6498971667242586e-07,3.981590270996094e-05,1.0271018169305535e-07,0.0004990230081602931,0.5075801342237783,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,1,3.619404367327661e-07,3.62396240234375e-05,1.7665348650552914e-07,0.0004951756563968956,0.8729981674021083,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,2,3.1693426194578933e-07,4.363059997558594e-05,1.358396417572294e-07,0.0004436974704731256,0.6713015443989465,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,3,3.041417642180022e-07,3.838539123535156e-05,7.813267899337006e-08,0.00043097036541439593,0.38612136632409094,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,4,2.0681747514572635e-07,2.574920654296875e-05,3.890169963938206e-08,0.0002901194675359875,0.19224705476132697,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,5,2.581885780728044e-07,2.6106834411621094e-05,3.872492726486598e-08,0.00035904417745769024,0.1913734690651,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,6,3.4116723668375926e-07,6.079673767089844e-05,1.3564702783241955e-07,0.0005021435208618641,0.6703496718562563,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,self_attn,transformer.encoder.layers.1.self_attn,0,7,1.9496333436563873e-07,2.0384788513183594e-05,3.5199661851947894e-08,0.0002596303238533437,0.1739520736204808,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,0,2.7945642955273797e-07,4.458427429199219e-05,2.862369896661221e-08,0.00042316975304856896,0.14145453473028374,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,1,2.706417205899925e-07,4.982948303222656e-05,4.622725668923522e-08,0.00044394045835360885,0.22844898887668472,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,2,2.7092335130873835e-07,3.838539123535156e-05,5.588445262105779e-08,0.0004175898793619126,0.2761735739810966,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,3,2.4176765123229416e-07,3.528594970703125e-05,3.428327843835177e-08,0.0003801286220550537,0.16942342798470916,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,4,2.615432492802938e-07,3.695487976074219e-05,3.305595441815967e-08,0.00039258511969819665,0.1633581549938885,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,5,2.785020001283556e-07,3.9577484130859375e-05,4.2844831682486983e-08,0.00041028973646461964,0.21173349182832132,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,6,2.67472472614827e-07,3.62396240234375e-05,2.56867185299825e-08,0.0004000357002951205,0.12694036583617968,0,"true pre-out-projection SDPA head output [B,H,T,D]"
1,cross_attn_image,transformer.encoder.layers.1.cross_attn_image,0,7,3.1007490974843677e-07,5.4836273193359375e-05,5.84997117414332e-08,0.00045934985973872244,0.28909783867879857,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,0,3.641869739112735e-07,5.888938903808594e-05,5.0904677806329346e-08,0.0005778227932751179,0.2515641854355892,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,1,3.603442451094452e-07,6.151199340820312e-05,7.675131286077885e-08,0.0005980728892609477,0.3792948375862858,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,2,4.0317448224413965e-07,7.724761962890625e-05,7.047437122764677e-08,0.0006560946349054575,0.348275022178098,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,3,2.5455639729443647e-07,4.649162292480469e-05,4.951536780595234e-08,0.000389254157198593,0.244698399153785,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,4,2.651351280746894e-07,4.315376281738281e-05,4.7317691098669457e-08,0.000388931279303506,0.2338377715151666,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,5,3.667614976166078e-07,5.7697296142578125e-05,1.3916373120537173e-07,0.0005613047396764159,0.6877287548317172,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,6,3.312949559131084e-07,4.696846008300781e-05,7.853215322484175e-08,0.0005079971742816269,0.388095515144461,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,self_attn,transformer.encoder.layers.2.self_attn,0,7,2.0838474767970183e-07,2.4080276489257812e-05,5.4852804964866664e-08,0.0003019703144673258,0.27107530770243277,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,0,2.3769911194904125e-07,4.0531158447265625e-05,1.0104325376403267e-08,0.0003844297316391021,0.049934239685433986,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,1,2.507503893411922e-07,6.198883056640625e-05,1.633929613831242e-08,0.0004270995850674808,0.0807466405988009,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,2,2.3760273393236275e-07,5.602836608886719e-05,2.5039517126401734e-08,0.00040956298471428454,0.12374198209384467,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,3,2.622765009618888e-07,5.7697296142578125e-05,1.9207213597383088e-08,0.00047036795876920223,0.09491950939157642,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,4,2.3618868283392658e-07,6.818771362304688e-05,2.255102593551328e-08,0.0004068342677783221,0.11144418773826079,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,5,2.805914789405506e-07,5.3882598876953125e-05,2.2342685923604222e-08,0.00047102203825488687,0.11041459895294435,0,"true pre-out-projection SDPA head output [B,H,T,D]"
2,cross_attn_image,transformer.encoder.layers.2.cross_attn_image,0,6,2.391330724549334e-07,6.4849853515625e-05,1.9084167135474672e-08,0.0004034422745462507,0.09431143005005718,0,"true pre-out-projection SDPA head output [B,H,T,D]"
