event_id,module_path,code_class,diagram_name,layer_index,attn_kind,attn_type,stream,query_shape,key_shape,value_shape,output_shape,attn_weights_shape,weights_returned,output_seq_matches_query
0,backbone.vision_backbone.trunk.blocks.0.attn,Attention,Image Encoder Self-Attention (ViT),0,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
1,backbone.vision_backbone.trunk.blocks.1.attn,Attention,Image Encoder Self-Attention (ViT),1,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
2,backbone.vision_backbone.trunk.blocks.2.attn,Attention,Image Encoder Self-Attention (ViT),2,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
3,backbone.vision_backbone.trunk.blocks.3.attn,Attention,Image Encoder Self-Attention (ViT),3,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
4,backbone.vision_backbone.trunk.blocks.4.attn,Attention,Image Encoder Self-Attention (ViT),4,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
5,backbone.vision_backbone.trunk.blocks.5.attn,Attention,Image Encoder Self-Attention (ViT),5,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
6,backbone.vision_backbone.trunk.blocks.6.attn,Attention,Image Encoder Self-Attention (ViT),6,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
7,backbone.vision_backbone.trunk.blocks.7.attn,Attention,Image Encoder Self-Attention (ViT),7,vit_self_attn,self,image,1x72x72x1024,1x72x72x1024,1x72x72x1024,1x72x72x1024,,False,True
8,backbone.vision_backbone.trunk.blocks.8.attn,Attention,Image Encoder Self-Attention (ViT),8,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
9,backbone.vision_backbone.trunk.blocks.9.attn,Attention,Image Encoder Self-Attention (ViT),9,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
10,backbone.vision_backbone.trunk.blocks.10.attn,Attention,Image Encoder Self-Attention (ViT),10,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
11,backbone.vision_backbone.trunk.blocks.11.attn,Attention,Image Encoder Self-Attention (ViT),11,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
12,backbone.vision_backbone.trunk.blocks.12.attn,Attention,Image Encoder Self-Attention (ViT),12,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
13,backbone.vision_backbone.trunk.blocks.13.attn,Attention,Image Encoder Self-Attention (ViT),13,vit_self_attn,self,image,9x24x24x1024,9x24x24x1024,9x24x24x1024,9x24x24x1024,,False,True
