event_id,t_ms,code_name,code_class,diagram_name,source_class,group,layer_index,kind,tensor_idx,tensor_name,shape,dtype,device,requires_grad,mean,std,min,max
0,0.000,backbone.vision_backbone.trunk,ViT,Image Encoder (ViT trunk),image,image_encoder,,input,0,[0],1x3x1008x1008,float32,cuda:0,False,-0.22487251460552216,0.6167013049125671,-1.0,1.0
1,128.406,backbone.vision_backbone.trunk,ViT,Image Encoder (ViT trunk),image,image_encoder,,output,0,[0],1x1024x72x72,float32,cuda:0,False,0.02025115117430687,1.3456740379333496,-218.43557739257812,25.45071029663086
2,257.501,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,input,0,[0],1x256x288x288,float32,cuda:0,False,-0.016558237373828888,0.02073587290942669,-0.2941204905509949,0.21765190362930298
3,261.070,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,output,0,tensor,1x256x288x288,float32,cuda:0,False,0.49501627683639526,0.504934549331665,-1.0,1.0
4,264.410,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,input,0,[0],1x256x144x144,float32,cuda:0,False,0.005302513018250465,1.3143925666809082,-9.975252151489258,13.560876846313477
5,265.358,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,output,0,tensor,1x256x144x144,float32,cuda:0,False,0.49492013454437256,0.5050288438796997,-1.0,1.0
6,266.756,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,input,0,[0],1x256x72x72,float32,cuda:0,False,-0.011794439516961575,0.7239624857902527,-5.2886552810668945,5.8151397705078125
7,267.280,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,output,0,tensor,1x256x72x72,float32,cuda:0,False,0.4947257339954376,0.5052193999290466,-1.0,1.0
8,268.878,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,input,0,[0],1x256x36x36,float32,cuda:0,False,-0.008984481915831566,0.4405272603034973,-1.8769439458847046,2.1993842124938965
9,269.435,backbone.vision_backbone.position_encoding,PositionEmbeddingSine,Image Encoder (Pos Enc),image,image_encoder,,output,0,tensor,1x256x36x36,float32,cuda:0,False,0.49432867765426636,0.5056084990501404,-1.0,1.0
10,293.248,backbone.language_backbone.encoder,TextTransformer,Text Encoder,text,text_encoder,,input,0,[0],1x32,int64,cuda:0,False,,,,
11,307.332,backbone.language_backbone.encoder,TextTransformer,Text Encoder,text,text_encoder,,output,0,[0],1x32x512,float32,cuda:0,False,1.4117894656884736e+16,inf,-8.479292935920157e+18,1.4225745322956554e+19
11,307.332,backbone.language_backbone.encoder,TextTransformer,Text Encoder,text,text_encoder,,output,1,[1],1x32x1024,float32,cuda:0,False,-0.1570606529712677,1.5503113269805908,-53.521854400634766,6.320244789123535
12,307.808,backbone.language_backbone.resizer,Linear,Text Encoder (Resizer),text,text_encoder,,input,0,[0],32x1x1024,float32,cuda:0,False,-0.1570606529712677,1.5503113269805908,-53.521854400634766,6.320244789123535
13,307.970,backbone.language_backbone.resizer,Linear,Text Encoder (Resizer),text,text_encoder,,output,0,tensor,32x1x256,float32,cuda:0,False,0.08121848851442337,1.1157820224761963,-4.399412155151367,5.208267688751221
14,308.070,backbone.language_backbone,VETextEncoder,Text Encoder,text,text_encoder,,output,0,[0],1x32,bool,cuda:0,False,,,,
14,308.070,backbone.language_backbone,VETextEncoder,Text Encoder,text,text_encoder,,output,1,[1],32x1x256,float32,cuda:0,False,0.08121848851442337,1.1157820224761963,-4.399412155151367,5.208267688751221
14,308.070,backbone.language_backbone,VETextEncoder,Text Encoder,text,text_encoder,,output,2,[2],32x1x1024,float32,cuda:0,False,-5.656502617057413e-05,0.0308631993830204,-1.645194172859192,1.28462553024292
15,314.436,geometry_encoder.img_pre_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],5184x1x256,float32,cuda:0,False,-0.011794439516961575,0.7239624857902527,-5.2886552810668945,5.8151397705078125
16,314.667,geometry_encoder.img_pre_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,5184x1x256,float32,cuda:0,False,0.0035304678604006767,0.9977405071258545,-7.8398118019104,8.177238464355469
17,314.825,geometry_encoder.points_direct_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1x2,float32,cuda:0,False,,,,
18,314.842,geometry_encoder.points_direct_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
19,314.929,geometry_encoder.points_pool_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1x256,float32,cuda:0,False,,,,
20,314.938,geometry_encoder.points_pool_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
21,315.155,geometry_encoder.points_pos_enc_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1x256,float32,cuda:0,False,,,,
22,315.165,geometry_encoder.points_pos_enc_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
23,315.181,geometry_encoder.label_embed,Embedding,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1,int64,cuda:0,False,,,,
24,315.207,geometry_encoder.label_embed,Embedding,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
25,315.220,geometry_encoder.boxes_direct_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1x4,float32,cuda:0,False,,,,
26,315.228,geometry_encoder.boxes_direct_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
27,315.576,geometry_encoder.boxes_pool_project,Conv2d,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x256x7x7,float32,cuda:0,False,,,,
28,315.621,geometry_encoder.boxes_pool_project,Conv2d,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x256x1x1,float32,cuda:0,False,,,,
29,315.817,geometry_encoder.boxes_pos_enc_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1x258,float32,cuda:0,False,,,,
30,315.828,geometry_encoder.boxes_pos_enc_project,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
31,315.838,geometry_encoder.label_embed,Embedding,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],0x1,int64,cuda:0,False,,,,
32,315.848,geometry_encoder.label_embed,Embedding,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,0x1x256,float32,cuda:0,False,,,,
33,340.444,geometry_encoder.final_proj,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],1x1x256,float32,cuda:0,False,-0.00229825172573328,0.1017666682600975,-0.27307623624801636,0.29159411787986755
34,342.580,geometry_encoder.final_proj,Linear,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,1x1x256,float32,cuda:0,False,-0.0011771139688789845,0.16428185999393463,-1.26234769821167,1.6677899360656738
35,342.721,geometry_encoder.norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],1x1x256,float32,cuda:0,False,-0.0011771139688789845,0.16428185999393463,-1.26234769821167,1.6677899360656738
36,342.838,geometry_encoder.norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,1x1x256,float32,cuda:0,False,0.02138931304216385,1.7826159000396729,-13.024720191955566,21.650314331054688
37,347.590,geometry_encoder.encode_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],1x1x256,float32,cuda:0,False,0.02333708107471466,1.6590906381607056,-12.170638084411621,19.230667114257812
38,347.747,geometry_encoder.encode_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,1x1x256,float32,cuda:0,False,-0.005063887685537338,0.9334384202957153,-6.42909574508667,10.193608283996582
39,347.842,geometry_encoder,SequenceGeometryEncoder,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,[0],1x1x256,float32,cuda:0,False,-0.005063887685537338,0.9334384202957153,-6.42909574508667,10.193608283996582
39,347.842,geometry_encoder,SequenceGeometryEncoder,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,1,[1],1x1,bool,cuda:0,False,,,,
